name,day_of_week,color,start_time,end_time,other_notes,document_id,name_venue,address,phone_number,other_notes_venue
Antenatal Checks,Monday,#aae3ff,09:00:00+00:00,16:00:00+00:00,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Stay and Play,Monday,#aae3ff,09:45:00+00:00,11:15:00+00:00,0-4 years,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Baby and Us,Monday,#aae3ff,10:00:00+00:00,12:00:00+00:00,Book here lambeth.gov.uk/parenting,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
"Chattertime Speech & Language, Stay and Play",Monday,#b5b1f5,09:45:00+00:00,11:15:00+00:00,0 - 5 years,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Pre-booked Health Visitor appointments & 6 - 8 week checks,Monday,#b5b1f5,,,Call 020 3049 5300 and ask to book at Loughborough,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Postnatal Checks,Monday,#b5b1f5,09:00:00+00:00,16:00:00+00:00,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Food Bags,Monday,#b5b1f5,,,By referral,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
PAIRS 1-1 Support,Monday,#b5b1f5,,,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
"‘Womens Only, Stay and Play",Monday,#cd9faf,09:45:00+00:00,11:15:00+00:00,0-4 years.,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Brockwell Children's Centre (previously the One O’clock Club),"9 Brockwell Park, Arlingford Road, SW2 2TA",020 8678 6530,
"Dads Hub Tea, Toast & a Chat",Monday,#aae3ff,14:00:00+00:00,16:00:00+00:00,Call to book,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Postnatal Checks,Monday,#b5b1f5,09:00:00+00:00,16:00:00+00:00,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Baby Steps,Monday,#b5b1f5,13:00:00+00:00,15:00:00+00:00,BabySteps@gstt.nhs.uk,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Food bags,Monday,#b5b1f5,,,By referral,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Digital Skills,Monday,#b5b1f5,13:15:00+00:00,15:00:00+00:00,Call to book,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
PAIRS 1 - 1 Support,Monday,#b5b1f5,,,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
ESOL - Hightrees,Tuesday,#aae3ff,09:30:00+00:00,11:30:00+00:00,Call to book,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Child Health Reviews,Tuesday,#aae3ff,,,By appointment. Call 020 3049 5300. and ask to book at Jubilee,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Postnatal Checks,Tuesday,#b5b1f5,09:00:00+00:00,16:00:00+00:00,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Stay and Play,Tuesday,#b5b1f5,10:00:00+00:00,11:30:00+00:00,0-4years,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Baby Massage Five Week Course,Tuesday,#b5b1f5,10:00:00+00:00,12:00:00+00:00,Call to book,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Children’s Vaccination Drop - In Clinic & Information sessions,Tuesday,#b5b1f5,10:00:00+00:00,11:00:00+00:00,"26 Jan, 25 Feb",Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Baby Massage Five Week Course,Tuesday,#aae3ff,13:30:00+00:00,15:00:00+00:00,Call to book,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Pre-booked Health Visitors & 6 - 8 week Health checks appointment,Tuesday,#aae3ff,,,Call 020 3049 5300 and ask to book at Jubilee,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Making it REAL,Tuesday,#aae3ff,,,By appointment ask for more information,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Jubilee Children’s Centre,"9 Tulse Hill, SW2 2JE",020 8678 6530,
Circle of Security Parenting,Tuesday,#b5b1f5,01:15:00+00:00,03:15:00+00:00,23 Jan - 24 Mar. Book here lambeth.gov.uk/parenting,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
Postnatal Checks,Tuesday,#b5b1f5,09:00:00+00:00,16:00:00+00:00,By appointment,Better%20Start%20BRIXTON_Tulse%20Hill%20Spring%202025,Loughborough Children’s Centre,"9 Minet Road, SW9 7UA",020 7274 8374,
